\\Generator Output Capability Month Report,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Created at 2022-08-05 08:43:10,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\For July 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delivery Date,Generator,Fuel Type,Measurement,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24
2022-07-01,ABKENORA,HYDRO,Capability,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
2022-07-01,ABKENORA,HYDRO,Output,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
2022-07-01,ADELAIDE,WIND,Available Capacity,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
2022-07-01,ADELAIDE,WIND,Forecast,31,35,46,24,19,21,24,22,16,13,13,17,22,13,6,34,29,11,19,20,9,3,4,3,
2022-07-01,ADELAIDE,WIND,Output,26,35,29,1,0,21,23,22,14,13,12,19,20,11,7,40,25,10,14,20,6,2,5,4,
2022-07-01,AGUASABON,HYDRO,Capability,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,
2022-07-01,AGUASABON,HYDRO,Output,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,
2022-07-01,ALEXANDER,HYDRO,Capability,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,
2022-07-01,ALEXANDER,HYDRO,Output,47,47,47,47,47,47,48,48,47,47,47,47,47,47,47,47,47,47,47,47,47,47,46,47,
2022-07-01,AMARANTH,WIND,Available Capacity,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,
2022-07-01,AMARANTH,WIND,Forecast,97,94,84,67,71,75,38,19,7,5,20,27,33,52,69,84,69,52,52,31,13,23,16,17,
2022-07-01,AMARANTH,WIND,Output,104,98,87,70,85,77,34,19,4,8,21,32,36,49,80,91,73,55,49,27,13,26,16,19,
2022-07-01,AMHERST ISLAND,WIND,Available Capacity,57,39,36,54,59,50,40,37,20,11,0,4,12,9,3,9,24,22,29,41,48,56,52,38,
2022-07-01,AMHERST ISLAND,WIND,Forecast,57,41,33,51,57,50,40,38,22,12,1,4,10,12,5,8,23,22,27,38,47,52,53,40,
2022-07-01,AMHERST ISLAND,WIND,Output,57,39,36,54,59,50,40,37,20,11,0,4,12,9,3,9,24,22,29,41,48,56,52,38,
2022-07-01,APIROQUOIS,HYDRO,Capability,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,
2022-07-01,APIROQUOIS,HYDRO,Output,90,87,86,86,85,85,86,87,88,88,90,90,90,91,91,91,91,91,91,91,91,91,91,91,
2022-07-01,ARMOW,WIND,Available Capacity,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,
2022-07-01,ARMOW,WIND,Forecast,134,135,146,146,151,106,36,10,16,21,6,15,30,54,39,14,7,4,3,20,41,26,35,13,
2022-07-01,ARMOW,WIND,Output,129,145,146,150,152,88,28,9,16,20,3,17,33,54,32,8,5,1,0,9,42,27,31,10,
2022-07-01,ARNPRIOR,HYDRO,Capability,41,41,41,41,41,41,41,41,0,0,0,0,38,38,0,0,0,0,0,0,0,0,0,41,
2022-07-01,ARNPRIOR,HYDRO,Output,0,0,0,0,0,25,37,38,1,0,0,0,35,38,3,0,0,0,0,0,0,0,0,0,
2022-07-01,ATIKOKAN-G1,BIOFUEL,Capability,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,
2022-07-01,ATIKOKAN-G1,BIOFUEL,Output,0,0,0,3,2,0,0,8,45,53,53,53,53,53,53,53,53,53,53,53,51,50,61,58,
2022-07-01,AUBREYFALLS,HYDRO,Capability,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,
2022-07-01,AUBREYFALLS,HYDRO,Output,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,65,65,66,66,66,66,3,39,29,
2022-07-01,BARRETT,HYDRO,Capability,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,88,109,109,
2022-07-01,BARRETT,HYDRO,Output,0,0,0,0,0,2,18,34,35,35,18,17,0,0,0,17,18,75,78,78,20,1,0,0,
2022-07-01,BECK1,HYDRO,Capability,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
2022-07-01,BECK1,HYDRO,Output,147,147,146,148,149,149,164,153,181,210,252,251,251,173,145,147,146,151,151,152,148,186,265,256,
2022-07-01,BECK2,HYDRO,Capability,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,
2022-07-01,BECK2,HYDRO,Output,897,919,907,902,882,943,991,1044,1034,1069,1066,1098,1072,1004,1015,963,935,977,956,997,1000,1204,1112,1106,
2022-07-01,BECK2 PGS,HYDRO,Capability,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,
2022-07-01,BECK2 PGS,HYDRO,Output,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,
2022-07-01,BELLE RIVER,WIND,Available Capacity,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
2022-07-01,BELLE RIVER,WIND,Forecast,62,63,63,61,58,54,47,43,43,43,38,36,40,47,57,66,59,47,53,55,51,39,34,30,
2022-07-01,BELLE RIVER,WIND,Output,1,0,0,0,1,36,28,35,35,31,30,23,35,60,62,42,35,42,41,38,28,32,29,25,
2022-07-01,BLAKE,WIND,Available Capacity,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
2022-07-01,BLAKE,WIND,Forecast,56,55,56,55,54,37,33,24,11,8,19,27,17,10,6,7,9,3,2,4,2,8,24,19,
2022-07-01,BLAKE,WIND,Output,0,0,0,0,0,23,27,21,7,8,23,28,14,8,5,7,9,1,1,2,3,12,28,17,
2022-07-01,BORNISH,WIND,Available Capacity,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,
2022-07-01,BORNISH,WIND,Forecast,14,20,20,18,16,19,30,29,23,17,17,18,15,12,12,22,35,10,14,16,2,6,10,4,
2022-07-01,BORNISH,WIND,Output,0,0,0,0,0,19,30,27,22,17,17,21,12,13,13,24,35,9,16,14,1,10,7,5,
2022-07-01,BOW LAKE,WIND,Available Capacity,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,5,3,1,1,2,7,11,13,11,
2022-07-01,BOW LAKE,WIND,Forecast,2,2,2,2,2,1,0,0,0,0,0,1,1,2,3,4,3,0,0,1,6,9,12,10,
2022-07-01,BOW LAKE,WIND,Output,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,5,3,1,1,2,7,11,13,11,
2022-07-01,BOW LAKE 2,WIND,Available Capacity,0,0,0,0,0,2,1,0,0,1,5,7,8,10,9,11,8,1,1,2,18,21,27,22,
2022-07-01,BOW LAKE 2,WIND,Forecast,5,4,5,5,4,2,1,0,0,0,2,6,5,8,7,8,8,1,1,2,11,16,19,18,
2022-07-01,BOW LAKE 2,WIND,Output,0,0,0,0,0,2,1,0,0,1,5,7,8,10,9,11,8,1,1,2,18,21,27,22,
2022-07-01,BRIGHTON BEACH,GAS,Capability,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,
2022-07-01,BRIGHTON BEACH,GAS,Output,0,0,0,0,0,0,0,0,0,0,0,17,23,36,52,164,237,238,237,238,76,0,0,0,
2022-07-01,BRUCEA-G1,NUCLEAR,Capability,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,
2022-07-01,BRUCEA-G1,NUCLEAR,Output,805,807,807,808,807,806,806,805,805,805,806,805,806,805,804,804,803,804,803,804,805,806,806,805,
2022-07-01,BRUCEA-G2,NUCLEAR,Capability,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,
2022-07-01,BRUCEA-G2,NUCLEAR,Output,794,796,797,794,793,793,789,784,785,786,788,787,787,787,788,787,787,786,785,790,790,791,790,790,
