LocalTime,Power(MW),DNI,DHI,GHI,Relative Humidity,Solar Zenith Angle,Cloud Type,Temperature,Wind Speed
2006-01-01 0:00,0,0,0,0,100,172.12,1,15,1.5
2006-01-01 0:30,0,0,0,0,100,168.33,1,14.9,1.5
2006-01-01 1:00,0,0,0,0,100,162.69,1,14.8,1.5
2006-01-01 1:30,0,0,0,0,100,156.52,1,14.7,1.6
2006-01-01 2:00,0,0,0,0,100,150.16,1,14.6,1.6
2006-01-01 2:30,0,0,0,0,100,143.72,1,14.5,1.6
2006-01-01 3:00,0,0,0,0,100,137.27,1,14.4,1.6
2006-01-01 3:30,0,0,0,0,100,130.82,3,14.4,1.5
2006-01-01 4:00,0,0,0,0,100,124.41,1,14.5,1.5
2006-01-01 4:30,0,0,0,0,100,118.06,1,14.6,1.5
2006-01-01 5:00,0,0,0,0,100,111.77,2,14.8,1.6
2006-01-01 5:30,0,0,0,0,100,105.57,3,15,1.6
2006-01-01 6:00,0,0,0,0,100,99.48,3,15.3,1.6
2006-01-01 6:30,0,0,0,0,100,93.54,1,16.3,1.7
2006-01-01 7:00,0.005679702,0,14,14,100,87.51,3,17.4,1.7
2006-01-01 7:30,0.183985102,358,45,94,96.68,82.1,0,18.5,2.1
2006-01-01 8:00,0.364711359,1,73,73,98.62,76.84,3,19.6,2.4
2006-01-01 8:30,0.304469274,5,154,155,95.04,71.88,3,20.2,2.5
2006-01-01 9:00,0.214990689,26,199,209,97.61,67.3,3,20.9,2.6
2006-01-01 9:30,0.108752328,0,129,129,94.67,63.21,3,21.4,2.8
2006-01-01 10:00,0.083612663,0,114,114,96.33,59.7,3,21.9,3
2006-01-01 10:30,0.097951583,2,209,210,95.07,56.88,3,22.1,3.1
2006-01-01 11:00,0.068808194,37,281,303,95.2,54.87,3,22.3,3.3
2006-01-01 11:30,0.00027933,0,181,182,94.63,53.74,2,22.4,3.4
2006-01-01 12:00,0.08556797,6,168,171,93.66,53.57,8,22.6,3.5
2006-01-01 12:30,0.216480447,75,256,300,93.66,54.36,8,22.6,3.5
2006-01-01 13:00,0.111638734,1,108,109,92.66,56.06,7,22.7,3.5
2006-01-01 13:30,0.060428305,5,212,214,93.79,58.61,4,22.5,3.4
2006-01-01 14:00,0.108007449,1,77,77,93.9,61.88,7,22.4,3.3
2006-01-01 14:30,0.11396648,1,132,132,96.2,65.78,3,22,3.2
2006-01-01 15:00,0.054655493,0,42,42,96.94,70.19,4,21.7,3.1
2006-01-01 15:30,0.00027933,5,77,79,100,75.02,7,21,3
2006-01-01 16:00,0,351,58,118,100,80.19,0,20.4,2.9
2006-01-01 16:30,0,0,23,24,100,85.58,7,20,3
2006-01-01 17:00,0,0,0,0,100,91.45,3,19.5,3
2006-01-01 17:30,0,0,0,0,100,97.34,1,19.4,3.1
2006-01-01 18:00,0,0,0,0,100,103.38,6,19.3,3.2
2006-01-01 18:30,0,0,0,0,100,109.54,6,19.3,3.3
2006-01-01 19:00,0,0,0,0,100,115.8,7,19.3,3.3
2006-01-01 19:30,0,0,0,0,100,122.14,7,19.4,3.4
2006-01-01 20:00,0,0,0,0,100,128.53,7,19.4,3.4
2006-01-01 20:30,0,0,0,0,100,134.96,6,19.5,3.5
2006-01-01 21:00,0,0,0,0,100,141.42,6,19.6,3.6
2006-01-01 21:30,0,0,0,0,100,147.86,8,19.8,3.8
2006-01-01 22:00,0,0,0,0,100,154.25,7,19.9,3.9
2006-01-01 22:30,0,0,0,0,100,160.51,6,19.9,3.8
2006-01-01 23:00,0,0,0,0,100,166.39,7,19.8,3.7
2006-01-01 23:30,0,0,0,0,100,171.09,1,19.9,3.7
2006-01-02 0:00,0,0,0,0,100,172.07,0,19.9,3.7
2006-01-02 0:30,0,0,0,0,100,168.35,0,19.8,3.6
2006-01-02 1:00,0,0,0,0,100,162.74,3,19.8,3.5
2006-01-02 1:30,0,0,0,0,100,156.58,7,19.8,3.4
2006-01-02 2:00,0,0,0,0,100,150.23,0,19.8,3.4
2006-01-02 2:30,0,0,0,0,100,143.79,1,19.9,3.5
2006-01-02 3:00,0,0,0,0,100,137.34,0,19.9,3.5
2006-01-02 3:30,0,0,0,0,100,130.89,1,20,3.7
2006-01-02 4:00,0,0,0,0,100,124.48,3,20.1,3.8
2006-01-02 4:30,0,0,0,0,100,118.12,7,20.2,3.9
2006-01-02 5:00,0,0,0,0,100,111.83,1,20.2,4
2006-01-02 5:30,0,0,0,0,100,105.63,3,20.3,4.1
2006-01-02 6:00,0,0,0,0,100,99.54,7,20.3,4.1
2006-01-02 6:30,0,0,0,0,99.61,93.59,7,20.5,4.3
2006-01-02 7:00,0,0,7,7,100,87.55,7,20.7,4.4
2006-01-02 7:30,0.002234637,0,27,27,97.98,82.13,6,21.1,4.7
2006-01-02 8:00,0.024301676,90,85,106,99.99,76.86,6,21.4,4.9
2006-01-02 8:30,0.032588454,0,10,10,97.59,71.89,6,21.8,5.2
2006-01-02 9:00,0.097951583,23,157,166,97.68,67.3,7,22.2,5.4
2006-01-02 9:30,0.129981378,637,121,409,96.41,63.2,0,22.4,5.6
2006-01-02 10:00,0.338361266,8,216,221,93.73,59.67,3,22.7,5.8
2006-01-02 10:30,0.301675978,36,276,296,92.51,56.84,2,22.9,6
2006-01-02 11:00,0.122998138,758,125,562,90.04,54.8,1,23,6.2
2006-01-02 11:30,0.241433892,40,289,312,89.41,53.66,2,23.1,6.2
2006-01-02 12:00,0.141154562,770,127,586,87.93,53.48,1,23.1,6.2
2006-01-02 12:30,0.287802607,91,337,390,88.38,54.25,2,23,6
2006-01-02 13:00,0.406703911,0,98,98,87.38,55.94,3,22.9,5.9
2006-01-02 13:30,0.239571695,0,156,156,88.98,58.48,3,22.6,5.7
2006-01-02 14:00,0.226350093,700,117,448,88.54,61.75,0,22.4,5.4
2006-01-02 14:30,0.296648045,657,109,380,90.72,65.64,0,22,5.1
2006-01-02 15:00,0.360614525,631,90,305,91.08,70.05,0,21.7,4.8
2006-01-02 15:30,0.318249534,542,77,219,94.47,74.89,0,21.1,4.5
2006-01-02 16:00,0.155865922,430,57,131,95.37,80.05,0,20.5,4.3
2006-01-02 16:30,0,214,32,49,99.67,85.44,0,19.8,4
2006-01-02 17:00,0,0,0,0,100,91.31,1,19.2,3.7
2006-01-02 17:30,0,0,0,0,100,97.2,1,18.8,3.6
2006-01-02 18:00,0,0,0,0,100,103.24,3,18.5,3.4
2006-01-02 18:30,0,0,0,0,100,109.41,3,18.3,3.4
2006-01-02 19:00,0,0,0,0,100,115.67,3,18.1,3.5
2006-01-02 19:30,0,0,0,0,100,122,3,17.8,3.4
2006-01-02 20:00,0,0,0,0,100,128.4,3,17.5,3.4
2006-01-02 20:30,0,0,0,0,100,134.83,1,17.2,3.3
2006-01-02 21:00,0,0,0,0,100,141.28,0,16.9,3.3
2006-01-02 21:30,0,0,0,0,100,147.73,0,16.6,3.3
2006-01-02 22:00,0,0,0,0,100,154.12,0,16.3,3.3
2006-01-02 22:30,0,0,0,0,100,160.37,0,15.9,3.3
2006-01-02 23:00,0,0,0,0,100,166.25,0,15.5,3.2
2006-01-02 23:30,0,0,0,0,100,170.96,0,15.1,3.1
2006-01-03 0:00,0,0,0,0,100,172.01,0,14.7,3.1
2006-01-03 0:30,0,0,0,0,100,168.36,0,14.4,3.1
2006-01-03 1:00,0,0,0,0,100,162.79,0,14,3.1
2006-01-03 1:30,0,0,0,0,100,156.64,0,13.7,3.2
2006-01-03 2:00,0,0,0,0,99.31,150.29,0,13.4,3.3
2006-01-03 2:30,0,0,0,0,100,143.86,0,13,3.3
2006-01-03 3:00,0,0,0,0,99.08,137.41,0,12.6,3.2
2006-01-03 3:30,0,0,0,0,100,130.96,0,12.2,3
2006-01-03 4:00,0,0,0,0,99.65,124.55,0,11.8,2.8
2006-01-03 4:30,0,0,0,0,100,118.18,0,11.5,2.7
2006-01-03 5:00,0,0,0,0,100,111.89,0,11.2,2.6
2006-01-03 5:30,0,0,0,0,100,105.68,0,11,2.6
2006-01-03 6:00,0,0,0,0,100,99.58,0,10.7,2.5
2006-01-03 6:30,0,0,0,0,96.78,93.63,0,11.3,2.7
2006-01-03 7:00,0.077374302,273,17,29,94.51,87.57,0,11.9,2.9
2006-01-03 7:30,0.266573557,537,36,109,89.78,82.15,0,12.7,3
2006-01-03 8:00,0.396927374,686,48,204,85.03,76.87,0,13.5,3.1
2006-01-03 8:30,0.499348231,778,57,299,80.74,71.89,0,14.3,3.3
2006-01-03 9:00,0.540130354,837,64,387,72.29,67.3,0,15.2,3.5
2006-01-03 9:30,0.541620112,879,69,465,70.01,63.18,0,15.7,3.5
2006-01-03 10:00,0.537337058,906,73,531,65.92,59.63,0,16.3,3.6
2006-01-03 10:30,0.516108007,926,76,584,64.27,56.78,0,16.7,3.6
2006-01-03 11:00,0.500558659,937,79,620,62.56,54.73,0,17.2,3.6
2006-01-03 11:30,0.490223464,944,80,640,61.32,53.58,0,17.5,3.5
2006-01-03 12:00,0.481378026,949,79,645,61.21,53.38,0,17.8,3.5
2006-01-03 12:30,0.480726257,941,78,629,60.44,54.14,0,18,3.4
2006-01-03 13:00,0.49301676,928,77,599,60.71,55.82,0,18.2,3.4
2006-01-03 13:30,0.503351955,911,75,553,60.71,58.35,0,18.2,3.3
2006-01-03 14:00,0.50735568,884,72,493,62.08,61.61,0,18.1,3.2
2006-01-03 14:30,0.516387337,848,68,419,62.86,65.5,0,17.9,2.9
2006-01-03 15:00,0.463594041,795,62,335,67.31,69.91,0,17.6,2.6
2006-01-03 15:30,0.380074488,718,54,243,72.15,74.74,0,16.5,2.3
2006-01-03 16:00,0.237802607,599,43,148,80.67,79.9,0,15.4,2
2006-01-03 16:30,0.001117318,393,26,59,84.92,85.3,0,14.6,2
2006-01-03 17:00,0,0,0,0,84.26,91.17,0,13.7,2
